time,id,tag_id,RSSI,phase,17:22.6,activity
25:17.6,e2001d8712401320d4a0,2,-56,"168
",07:55.0,5
25:17.7,e2001d8712401320d4a0,2,-56,"171
",07:55.0,5
25:17.7,e2001d8712401320d4a0,2,-57,"174
",07:55.1,5
25:17.7,e2001d8712401320d4a0,2,-57,"174
",07:55.1,5
25:17.8,e2001d8712401320d4a0,2,-57,"174
",07:55.1,5
25:17.8,e2001d8712401320d4a0,2,-58,"171
",07:55.2,5
25:17.8,e2001d8712401320d4a0,2,-57,"171
",07:55.2,5
25:17.9,e2001d8712401320d4a0,2,-58,"168
",07:55.2,5
25:17.9,e2001d8712401320d4a0,2,-58,"171
",07:55.3,5
25:17.9,e2001d8712401320d4a0,2,-58,"174
",07:55.3,5
25:18.0,e2001d8712401320d4a0,2,-57,"171
",07:55.3,5
25:18.1,e2001d8712401320d4a0,2,-53,"171
",07:55.5,5
25:18.2,e2001d8712401320d4a0,2,-52,"171
",07:55.5,5
25:18.2,e2001d8712401320d4a0,2,-55,"168
",07:55.5,5
25:18.2,e2001d8712401320d4a0,2,-51,"171
",07:55.6,5
25:18.2,e2001d8712401320d4a0,2,-51,"171
",07:55.6,5
25:18.3,e2001d8712401320d4a0,2,-51,"174
",07:55.6,5
25:18.3,e2001d8712401320d4a0,2,-51,"174
",07:55.6,5
25:18.3,e2001d8712401320d4a0,2,-51,"174
",07:55.7,5
25:18.4,e2001d8712401320d4a0,2,-50,"171
",07:55.7,5
25:18.4,e2001d8712401320d4a0,2,-49,"171
",07:55.8,5
25:18.4,e2001d8712401320d4a0,2,-47,"174
",07:55.8,5
25:18.5,e2001d8712401320d4a0,2,-46,"174
",07:55.8,5
25:18.5,e2001d8712401320d4a0,2,-46,"171
",07:55.9,5
25:18.5,e2001d8712401320d4a0,2,-46,"174
",07:55.9,5
25:18.6,e2001d8712401320d4a0,2,-46,"174
",07:55.9,5
25:18.6,e2001d8712401320d4a0,2,-46,"174
",07:56.0,5
25:18.7,e2001d8712401320d4a0,2,-47,"171
",07:56.0,5
25:18.7,e2001d8712401320d4a0,2,-49,"171
",07:56.1,5
25:18.7,e2001d8712401320d4a0,2,-49,"171
",07:56.1,5
25:18.8,e2001d8712401320d4a0,2,-49,"171
",07:56.1,5
