time,id,id_num,RSSI,phase,,activity,,,,,,,,,,,,,,,,
05:14.9,e2001d8712461320db93,3,-50,"171
",00:11.5,,,,,,,,,,,,,,,,,
05:14.9,e2001d8712171320c120,1,-55,"174
",00:11.6,,,,,,,,,,,,,,,,,
05:14.9,e2001d871271320b9f,4,-52,"171
",00:11.6,,,,,,,,,,,,,,,,,
05:15.0,e2001d871271320b9f,4,-53,"174
",00:11.6,,,,,,,,,,,,,,,,,
05:15.5,e2001d8712461320db93,3,-49,"174
",00:12.1,,,,,,,,,,,,,,,,,
05:15.4,e2001d871271320b9f,4,-53,"174
",00:12.0,,,,,,,,,,,,,,,,,
05:15.4,e2001d8712171320c120,1,-53,"171
",00:12.1,,,,,,,,,,,,,,,,,
05:15.5,e2001d871271320b9f,4,-53,"174
",00:12.1,,,,,,,,,,,,,,,,,
05:15.5,e2001d8712461320db93,3,-50,"174
",00:12.2,,,,,,,,,,,,,,,,,
05:16.6,e2001d871271320b9f,4,-57,"168
",00:13.3,,,,,,,,,,,,,,,,,
05:16.7,e2001d8712461320db93,3,-51,"171
",00:13.3,,,,,,,,,,,,,,,,,
05:16.8,e2001d8712171320c120,1,-55,"174
",00:13.5,,,,,,,,,,,,,,,,,
05:16.9,e2001d8712461320db93,3,-51,"171
",00:13.5,,,,,,,,,,,,,,,,,
05:17.1,e2001d871271320b9f,4,-57,"168
",00:13.8,,,,,,,,,,,,,,,,,
05:17.2,e2001d8712171320c120,1,-55,"171
",00:13.8,,,,,,,,,,,,,,,,,
05:17.2,e2001d8712401320d4a0,2,-55,"168
",00:13.9,,,,,,,,,,,,,,,,,
05:17.3,e2001d8712171320c120,1,-55,"174
",00:13.9,,,,,,,,,,,,,,,,,
05:17.3,e2001d8712171320c120,1,-55,"168
",00:13.9,,,,,,,,,,,,,,,,,
05:17.3,e2001d8712461320db93,3,-51,"174
",00:14.0,,,,,,,,,,,,,,,,,
05:17.5,e2001d8712461320db93,3,-51,"174
",00:14.1,,,,,,,,,,,,,,,,,
05:17.5,e2001d8712171320c120,1,-55,"174
",00:14.1,,,,,,,,,,,,,,,,,
05:17.6,e2001d8712461320db93,3,-51,"171
",00:14.3,,,,,,,,,,,,,,,,,
05:17.7,e2001d8712171320c120,1,-55,"171
",00:14.3,,,,,,,,,,,,,,,,,
05:17.9,e2001d871271320b9f,4,-52,"174
",00:14.5,,,,,,,,,,,,,,,,,
05:17.9,e2001d8712401320d4a0,2,-51,"174
",00:14.5,,,,,,,,,,,,,,,,,
05:17.9,e2001d8712171320c120,1,-53,"174
",00:14.6,,,,,,,,,,,,,,,,,
05:18.0,e2001d871271320b9f,4,-52,"174
",00:14.6,,,,,,,,,,,,,,,,,
05:18.3,e2001d8712461320db93,3,-51,"174
",00:15.0,,,,,,,,,,,,,,,,,
