,run,activity,time,id,RSSI,phase
61,0,6,16 31 47 40416,1,-53,171
62,0,6,16 31 47 40416,1,-53,171
63,0,6,16 31 47 40449,1,-55,174
64,0,6,16 31 47 40465,2,-56,174
65,0,6,16 31 47 40483,2,-57,165
66,0,6,16 31 47 40499,1,-55,171
67,0,6,16 31 47 40499,1,-55,171
68,0,6,16 31 47 40499,1,-55,171
69,0,6,16 31 47 40549,2,-57,171
70,0,6,16 31 47 40566,1,-55,171
71,0,6,16 31 47 40583,1,-55,174
72,0,6,16 31 47 40599,2,-57,171
73,0,6,16 31 47 40633,1,-55,171
74,0,6,16 31 47 40649,2,-57,168
75,0,6,16 31 47 40666,1,-55,174
76,0,6,16 31 48 40698,2,-57,177
77,0,6,16 31 48 40698,2,-57,177
78,0,6,16 31 48 40732,1,-55,171
79,0,6,16 31 48 40749,2,-57,171
80,0,6,16 31 48 40749,2,-57,171
81,0,6,16 31 48 40749,2,-57,171
82,0,6,16 31 48 40799,1,-55,171
83,0,6,16 31 48 40816,2,-56,174
